22905,4P YELLOW NPX FOAM TRAYS - 500,CS,QTY,42.27,12/12/2024,6
31005,DLAC40 WHITE 4X7 ULTRA ZAP 40 GRAM PADS - 3000,CS,QTY,44.74,11/7/2024,3
87911,100072343 2P YELLOW FOAM TRAYS - 500,CS,QTY,52.16,12/12/2024,7
88101,88101 CKF 1S WHITE FOAM TRAY - 1000,CS,QTY,28.30,12/26/2024,1
12433,HR243308N NATURAL 24X33 8 MIC. CAN LINERS - 1000(20/50),CS,QTY,39.20,12/12/2024,1
15815,SL3858150K BLACK 38X58 1.5 MIL. 60 GA CAN LINERS - 100(4/25,CS,QTY,34.75,2/6/2025,5
64271,PGR3339XB BLACK 33X39 1 MIL CAN LINERS - 250(25/10),CS,QTY,39.22,11/7/2024,1
14602,460200 FOAMYIQ,CS,QTY,56.57,8/29/2024,3
11370,T370-B TRANSCEND TWIN JUMBO TISSUE DISPENSER - 1,EA,QTY,0.00,6/27/2024,8
19437,943700 FOAMYIQ MOUNTING BRACKET - 1,EA,QTY,0.00,6/27/2024,16
50881,T850-B BLACK,EA,QTY,0.00,6/27/2024,12
200,P200N 2OZ PS PORTION CONTAINERS - 2500(10/250),CS,QTY,37.15,6/20/2024,1
2926,P2203W/PPTSB25W,CS,QTY,7.24,6/27/2024,1
4994,P2846 WHITE SMOOTH POLY APRONS (28 X 46 X .001) - 1000(10/100),CS,QTY,54.61,1/30/2025,1
11050,17-03000 QUART (32OZ) WHITE FOOD PAIL W/HANDLE - 500 (5/100),CS,QTY,123.80,11/7/2024,1
14200,ASB200 TRANSLUCENT,CS,QTY,35.38,2/20/2025,2
14220,ASL2 CLEAR PLASTIC PORTION LIDS F/ 1.5/2/2.5OZ - 2500(25/100),CS,QTY,31.45,2/20/2025,2
14400,ASB400 TRANSLUCENT,CS,QTY,51.94,1/28/2025,2
14401,ASL4/5 CLEAR PLASTIC PORTION LIDS F/ 4OZ -,CS,QTY,42.88,1/28/2025,2
16508,TE6508 4512020 CLEAR 8OZ. TAMPER EVIDENT CONTAINER - 200,CS,QTY,35.71,8/15/2024,1
16516,TE6516 4512030 CLEAR 16OZ. TAMPER EVIDENT CONTAINERS - 200,CS,QTY,43.36,8/15/2024,1
17032,DC32240C CLEAR 32OZ.,CS,QTY,58.83,1/30/2025,1
17216,DC16240C CLEAR 16OZ.,CS,QTY,48.46,1/22/2024,4
18440,H301LG HALF SIZE DEEP STEAM TABLE PANS - 100,CS,QTY,28.68,2/20/2025,3
18540,8540/A311LG JIF FULL SIZE DEEP STEAM TABLE PANS - 50,CS,QTY,45.16,2/20/2025,3
22031,MCPE-45B-L-4 LARGE BLUE CAST APRONS - 100,CS,QTY,65.86,3/14/2024,1
25238,100PC 1 OZ. CLEAR PORTION CUPS (FITS PL1N LID) - 2500(20/125),CS,QTY,31.80,2/20/2025,2
25243,PL100N SMALL CLEAR,CS,QTY,23.38,2/20/2025,2
27885,318-40-200 THIRD SIZE ALUMINUM STEAM TABLE PAN - 200,CS,QTY,89.38,10/24/2024,1
28400,400PC TRANSLUCENT 4,CS,QTY,63.16,12/5/2024,1
28401,PL4N LARGE CLEAR PORTION CUP LIDS (FITS,CS,QTY,67.28,12/5/2024,1
31032,CH32DEF CLEAR 32OZ. SAFE SEAL TAMPER EVIDENT CONTAINERS - 200(2/100),CS,QTY,74.88,8/24/2023,2
31981,24000250/A626P CLEAR,CS,QTY,33.66,3/7/2024,4
36721,297/ATX/D185HD EL,RL,QTY,39.51,12/5/2024,6
36722,121 12 X 1000' CUTTERBOX FOODSERVICE FILM - 1,RL,QTY,9.87,1/30/2025,10
36751,182PLB/PW18,RL,QTY,23.30,1/30/2025,10
36754,142/7302435 24 X 2000' CLING CLASSIC FOODSERVICE FILM - 1,RL,QTY,38.79,11/7/2024,6
36757,122/7301235,RL,QTY,18.90,12/5/2024,5
40016,DC16480 HEAVY 16OZ. DELI CONTAINERS - 480,CS,QTY,43.97,6/27/2024,1
40032,DC32480 HEAVY 32OZ. DELI CONTAINERS - 480,CS,QTY,80.49,6/27/2024,1
40832,DCL0832 HEAVY DELI CONTAINER LID FITS 8- 32OZ. - 480,CS,QTY,39.87,6/27/2024,2
42047,2047-00-200W ALUMINUM 7 ROUND PAN W/ LIDS - 200,CS,QTY,63.33,1/28/2025,2
44025,4025-40-100 MEDIUM ALUMINUM 1/2 STEAM TABLE PANS - 100,CS,QTY,40.89,10/24/2024,1
45321,321-00-100 ALUMINUM,CS,QTY,41.98,7/27/2023,2
46500,1911-B HOBART QUANTUM 3 BLANK LAB (2800) - 16(16/1000),CS,QTY,138.53,1/30/2025,2
50102,85HT1R MEDIUM WHITE 1 COMP. FOAM HINGED CONTAINER - 200(2/100),CS,QTY,28.89,1/30/2025,5
50104,90HT1R LARGE WHITE 1 COMP. FOAM HINGED CONTAINER - 200(2/100),CS,QTY,30.36,1/30/2025,5
50110,80HT3R SMALL WHITE 3 COMP. FOAM HINGED CONTAINERS - 200(2/100),CS,QTY,41.32,7/25/2024,2
53634,4J6 WHITE 4 OZ. SQUAT FOAM CONTAINERS - 1000(20/50),CS,QTY,55.54,2/20/2025,2
64509,E1119HI-DP PRODUCE,CS,QTY,133.41,2/20/2025,20
73479,PL042C CLEAR 5 COMP. SNACK PARTY PLATTERS WITH LID COMBO - 100,CS,QTY,84.06,11/21/2024,1
73481,TS8 CLEAR SAFE-T- FRESH 8 OZ. TAMPER,CS,QTY,47.27,12/28/2023,3
73482,TS16 CLEAR SAFE-T- FRESH 16 OZ. TAMPER RESISTANT HINGED CONTAINERS - 240,CS,QTY,43.40,11/16/2023,1
73483,TS32 CLEAR SAFE-T- FRESH 32 OZ. TAMPER RESISTANT HINGED CONTAINERS - 200,CS,QTY,72.32,3/30/2023,2
77911,87911 YELLOW 2PP CKF FOAM TRAYS - 400,CS,QTY,39.54,3/6/2025,4
77915,87915 CKF 10S YELLOW FOAM TRAYS - 500,CS,QTY,39.54,3/6/2025,4
77941,87941 CKF 10K YELLOW FOAM TRAYS - 250,CS,QTY,32.73,2/20/2025,2
79061,7126018 18 X 5000' 53 GA. ELITE MEAT FILM - 1,RL,QTY,65.49,3/6/2025,5
87544,FST24 WHITE MEDIUM 1- COMP. FOAM HINGED CONTAINERS - 200(2/100),CS,QTY,29.98,9/12/2024,3
87807,87807 CKF 7H/7S BLACK FOAM TRAYS(7S) - 250,CS,QTY,23.72,4/4/2024,2
87810,87810 CKF 10S BLACK FOAM TRAYS - 500,CS,QTY,30.04,3/6/2025,4
87825,87825 CKF 25S BLACK MEAT TRAYS - 250,CS,QTY,36.13,5/30/2024,1
87853,87853 CKF 4PR BLACK MEAT TRAYS (4D) - 500,CS,QTY,34.59,3/6/2025,2
87899,87899 CKF 4PR YELLOW FOAM TRAYS(4D) - 500,CS,QTY,42.28,3/6/2025,5
87925,87925 CKF 25S YELLOW FOAM TRAY - 250,CS,QTY,47.34,3/6/2025,1
93511,85HT3R WHITE MEDIUM PERFORMER 3 COMP. FOAM HINGED CONTAINER - 200(2/100),CS,QTY,41.33,10/21/2024,10
95179,DCT12QPET/ACR12,CS,QTY,73.44,6/27/2024,1
95185,APC16 CLEAR 16 OZ. PET PLASTIC CUPS - 1000(20/50),CS,QTY,64.96,6/27/2024,1
98128,15G-128024 12 X 8 X 24,CS,QTY,73.31,3/6/2025,3
98188,15G-084018 8X4X18 1.5,CS,QTY,67.03,3/6/2025,6
99165,1/6,BL,QTY,56.37,12/26/2024,2
99167,1/6,BL,QTY,61.79,9/19/2024,1
99256,25#/71025 NATURAL 8.25,BL,QTY,53.69,11/14/2024,2
95019,1213/1228 WHITE THERMAL 3 1/8 X 230' REGISTER ROLLS - 50,CS,QTY,80.70,2/20/2025,1
11145,1145 TRANSCEND 2-PLY SMART-CORE JUMBO ROLL TISSUE(1145') - 12,CS,QTY,58.56,3/6/2025,4
